"filename", "language", "Markdown", "JSON", "Dart", "YAML", "C++", "HTML", "CMake", "Swift", "XML", "Java Properties", "Groovy", "comment", "blank", "total"
"c:\Users\49440\Desktop\Time-Tracker\README.md", "Markdown", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"c:\Users\49440\Desktop\Time-Tracker\analysis_options.yaml", "YAML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 22, 4, 29
"c:\Users\49440\Desktop\Time-Tracker\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 5, 12, 68
"c:\Users\49440\Desktop\Time-Tracker\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 4, 1, 8
"c:\Users\49440\Desktop\Time-Tracker\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 6, 1, 34
"c:\Users\49440\Desktop\Time-Tracker\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"c:\Users\49440\Desktop\Time-Tracker\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"c:\Users\49440\Desktop\Time-Tracker\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"c:\Users\49440\Desktop\Time-Tracker\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"c:\Users\49440\Desktop\Time-Tracker\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 4, 1, 8
"c:\Users\49440\Desktop\Time-Tracker\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 5, 32
"c:\Users\49440\Desktop\Time-Tracker\android\gradle.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\49440\Desktop\Time-Tracker\android\gradle\wrapper\gradle-wrapper.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"c:\Users\49440\Desktop\Time-Tracker\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 5, 21
"c:\Users\49440\Desktop\Time-Tracker\devtools_options.yaml", "YAML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\49440\Desktop\Time-Tracker\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 2, 4, 13
"c:\Users\49440\Desktop\Time-Tracker\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"c:\Users\49440\Desktop\Time-Tracker\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"c:\Users\49440\Desktop\Time-Tracker\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\49440\Desktop\Time-Tracker\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\49440\Desktop\Time-Tracker\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 1, 1, 38
"c:\Users\49440\Desktop\Time-Tracker\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 1, 1, 27
"c:\Users\49440\Desktop\Time-Tracker\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\49440\Desktop\Time-Tracker\lib\common\dao\category_dao.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\49440\Desktop\Time-Tracker\lib\common\dao\record_dao.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\49440\Desktop\Time-Tracker\lib\common\dao\user_dao.dart", "Dart", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\49440\Desktop\Time-Tracker\lib\common\model\category.dart", "Dart", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 35
"c:\Users\49440\Desktop\Time-Tracker\lib\common\model\event.dart", "Dart", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 26
"c:\Users\49440\Desktop\Time-Tracker\lib\common\model\record.dart", "Dart", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\49440\Desktop\Time-Tracker\lib\common\model\user.dart", "Dart", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 40
"c:\Users\49440\Desktop\Time-Tracker\lib\common\routes\app_pages.dart", "Dart", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 23
"c:\Users\49440\Desktop\Time-Tracker\lib\common\user_manager.dart", "Dart", 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 9, 16, 86
"c:\Users\49440\Desktop\Time-Tracker\lib\main.dart", "Dart", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 48
"c:\Users\49440\Desktop\Time-Tracker\lib\page\activity\activity_page.dart", "Dart", 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 62
